In Java's regular expressions, '\d' looks for __	digits	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div>import java.util.*;</div><div>class Foo {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public Foo(int x) { this.x = x; }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public boolean equals(Object o) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("Foo "+ x + " equals " + ((Foo)o).x);</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;return this.x == ((Foo)o).x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public int hashCode() {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp; System.out.println("Foo " + x + " hashCode");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return x;&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp; LinkedHashSet&lt;Foo&gt; l = new LinkedHashSet&lt;Foo&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(3));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(3));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("size is " + l.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></code></div></span>	<div>Foo 1 hashCode</div><div>Foo 3 hashCode</div><div>Foo 3 hashCode</div><div>Foo 3 equals 3</div><div>size is 2</div>	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div>import java.util.*;</div><div>class Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;int x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public Foo(int x) { this.x = x; }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public int hashCode() {&nbsp;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("Foo " + x + " hashCode");</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;return x;&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp; LinkedHashSet&lt;Foo&gt; l = new LinkedHashSet&lt;Foo&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(3));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(3));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("size is " + l.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></code></div></span>	<div>Foo 1 hashCode</div><div>Foo 3 hashCode</div><div>Foo 3 hashCode</div><div>size is 3</div>	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div>import java.util.*;</div><div>class Dog {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int size;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Dog(int s) { size = s; }</div><div>}</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp; Set&lt;Dog&gt; d = new LinkedHashSet&lt;Dog&gt;();</div><div><span class="Apple-tab-span" style="white-space:pre"></span></div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Set&lt;Integer&gt; i = new LinkedHashSet&lt;Integer&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>d.add(new Dog(1)); d.add(new Dog(2)); d.add(new Dog(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>i.add(1); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(2); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(1);&nbsp;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(d.size() + " " + i.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></code></div></span>	3 2	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div>import java.util.*;</div><div>class Dog {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;int size;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Dog(int s) { size = s; }</div><div>}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Set&lt;Dog&gt; d = new HashSet&lt;Dog&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Set&lt;Integer&gt; i = new HashSet&lt;Integer&gt;();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;d.add(new Dog(1)); d.add(new Dog(2)); d.add(new Dog(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>i.add(1); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(2); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(1);&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.println(d.size() + " " + i.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></code></div></span>	3 2	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div>import java.util.*;</div><div>class Dog {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int size;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Dog(int s) { size = s; }</div><div>}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Set&lt;Dog&gt; d = new TreeSet&lt;Dog&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Set&lt;Integer&gt; i = new TreeSet&lt;Integer&gt;();</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;d.add(new Dog(1)); d.add(new Dog(2)); d.add(new Dog(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>i.add(1); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(2); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(1);&nbsp;</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;System.out.println(d.size() + " " + i.size());</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></div></div></code></div></span>	a RuntimeException is thrown<div><br /></div><div>Dog cannot be cast to Comparable</div>	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div><div>import java.util.*;</div><div>class Dog implements Comparable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int size;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Dog(int s) { size = s; }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public int compareTo(Object d) { return this.size - ((Dog)d).size; }</div><div>}</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;Set&lt;Dog&gt; d = new TreeSet&lt;Dog&gt;();</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;Set&lt;Integer&gt; i = new TreeSet&lt;Integer&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>d.add(new Dog(1)); d.add(new Dog(2)); d.add(new Dog(1));</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;i.add(1); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(2); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(1);&nbsp;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(d.size() + " " + i.size());</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></div></div></div></code></div></span>	2 2	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div><div>import java.util.*;</div><div>class Dog implements Comparable {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;int size;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Dog(int s) { size = s; }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public int compareTo(Object d) { return this.size - ((Dog)d).size; }</div><div>}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Set&lt;Dog&gt; d = new HashSet&lt;Dog&gt;();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;Set&lt;Integer&gt; i = new HashSet&lt;Integer&gt;();</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;d.add(new Dog(1)); d.add(new Dog(2)); d.add(new Dog(1));</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;i.add(1); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(2); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(1);&nbsp;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(d.size() + " " + i.size());</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></div></div></div></code></div></span>	3 2	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div><div><div>import java.util.*;</div><div>class Dog implements Comparable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int size;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;Dog(int s) { size = s; }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public int compareTo(Object d) { return this.size - ((Dog)d).size; }</div><div>}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Set&lt;Dog&gt; d = new LinkedHashSet&lt;Dog&gt;();</div><div>&nbsp;&nbsp; <span class="Apple-tab-span" style="white-space:pre"> </span>Set&lt;Integer&gt; i = new LinkedHashSet&lt;Integer&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>d.add(new Dog(1)); d.add(new Dog(2)); d.add(new Dog(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>i.add(1); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(2); &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;i.add(1);&nbsp;</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(d.size() + " " + i.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></div></div></code></div></span>	3 2	
What is the output of the following?<div>&nbsp;&nbsp;<div align="left"><code><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String[] s = {"zip", "hop", "mix", "app"};</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Arrays.sort(s);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>for(String i : s) System.out.print(i + " ");</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div></div>	app hop mix zip	
<span style=" font-style: normal; font-weight: normal;">What is the output of the following?<div>&nbsp;&nbsp;<div align="left"><code><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String[] s = {"zip", "hop", "mix", "app"};</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f = new Foo();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Arrays.sort(s, f);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp; for(String i : s) System.out.print(i + " ");</div><div>&nbsp;&nbsp;}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;static class Foo implements Comparator&lt;String&gt; {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;public int compare(String a, String b) { return b.compareTo(a); }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></code></div></div></span>	zip mix hop app	
<span style=" font-style: normal; font-weight: normal;">What is the output of the following?<div>&nbsp;&nbsp;<div align="left"><code><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>String[] s = {"zip", "hop", "mix", "app"};</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>Foo f = new Foo();</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>Arrays.sort(s);</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;for(String i : s) System.out.print(i + " ");</div><div>&nbsp;&nbsp;}</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;static class Foo implements Comparator&lt;String&gt; {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;public int compare(String a, String b) { return b.compareTo(a); }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>}</div><div>}</div></div></code></div></div></span>	app hop mix zip	
